country_iso,year,variable,value
DZA,2016,"Share of Total US$, 2015 prices",11.421639
DZA,2016,"Annual growth US$, 2015 prices",1.8
DZA,2017,"Value US$, 2015 prices",19681.562161
DZA,2017,"Share of Total US$, 2015 prices",11.342714
DZA,2017,"Annual growth US$, 2015 prices",0.6
DZA,2018,"Value US$, 2015 prices",20370.416836
DZA,2018,"Share of Total US$, 2015 prices",11.600503
DZA,2018,"Annual growth US$, 2015 prices",3.5
DZA,2019,"Value US$, 2015 prices",21596.179056
DZA,2019,"Share of Total US$, 2015 prices",11.659044
DZA,2019,"Annual growth US$, 2015 prices",6.017364
DZA,2020,"Value US$, 2015 prices",21848.497836
DZA,2020,"Share of Total US$, 2015 prices",11.900684
DZA,2020,"Annual growth US$, 2015 prices",1.168349
DZA,2021,"Value US$, 2015 prices",21941.346389
DZA,2021,"Share of Total US$, 2015 prices",11.066839
DZA,2021,"Annual growth US$, 2015 prices",0.424965
DZA,2022,"Value US$, 2015 prices",23075.147835
DZA,2022,"Share of Total US$, 2015 prices",11.231845
DZA,2022,"Annual growth US$, 2015 prices",5.16742
DZA,2023,"Value US$, 2015 prices",23749.457681
DZA,2023,"Share of Total US$, 2015 prices",11.109666
DZA,2023,"Annual growth US$, 2015 prices",2.922234
DZA,2003,"Value US$, 2015 prices",1477.93099
DZA,2003,"Share of Total US$, 2015 prices",5.080464
DZA,2003,"Agriculture orientation index US$, 2015 prices",0.611279
DZA,2003,"Share of Value Added US$, 2015 prices",15.791262
DZA,2004,"Value US$, 2015 prices",1577.772032
DZA,2004,"Share of Total US$, 2015 prices",5.012636
DZA,2004,"Agriculture orientation index US$, 2015 prices",0.596823
DZA,2004,"Share of Value Added US$, 2015 prices",15.99434
DZA,2005,"Value US$, 2015 prices",1452.036778
DZA,2005,"Share of Total US$, 2015 prices",4.267503
DZA,2005,"Agriculture orientation index US$, 2015 prices",0.525985
DZA,2005,"Share of Value Added US$, 2015 prices",14.388782
DZA,2006,"Value US$, 2015 prices",1391.023616
DZA,2006,"Share of Total US$, 2015 prices",3.849517
DZA,2006,"Agriculture orientation index US$, 2015 prices",0.446376
DZA,2006,"Share of Value Added US$, 2015 prices",12.751323
DZA,2007,"Value US$, 2015 prices",1419.627211
DZA,2007,"Share of Total US$, 2015 prices",3.568278
DZA,2007,"Agriculture orientation index US$, 2015 prices",0.417398
DZA,2007,"Share of Value Added US$, 2015 prices",12.696125
DZA,2008,"Value US$, 2015 prices",1115.376916
DZA,2008,"Share of Total US$, 2015 prices",2.494249
DZA,2008,"Agriculture orientation index US$, 2015 prices",0.310568
DZA,2008,"Share of Value Added US$, 2015 prices",10.369157
DZA,2009,"Value US$, 2015 prices",1275.892584
DZA,2009,"Share of Total US$, 2015 prices",2.622426
DZA,2009,"Agriculture orientation index US$, 2015 prices",0.273949
DZA,2009,"Share of Value Added US$, 2015 prices",9.794714
DZA,2010,"Value US$, 2015 prices",1288.38702
DZA,2010,"Share of Total US$, 2015 prices",2.474866
DZA,2010,"Agriculture orientation index US$, 2015 prices",0.25533
DZA,2010,"Share of Value Added US$, 2015 prices",9.428628
DZA,2011,"Value US$, 2015 prices",1447.805997
DZA,2011,"Share of Total US$, 2015 prices",2.702716
DZA,2011,"Agriculture orientation index US$, 2015 prices",0.2571
DZA,2011,"Share of Value Added US$, 2015 prices",9.493981
DZA,2012,"Value US$, 2015 prices",1635.566995
DZA,2012,"Share of Total US$, 2015 prices",2.848155
DZA,2012,"Agriculture orientation index US$, 2015 prices",0.261331
DZA,2012,"Share of Value Added US$, 2015 prices",10.004872
DZA,2013,"Value US$, 2015 prices",1817.226905
DZA,2013,"Share of Total US$, 2015 prices",2.9139
DZA,2013,"Agriculture orientation index US$, 2015 prices",0.25402
DZA,2013,"Share of Value Added US$, 2015 prices",10.273657
DZA,2014,"Value US$, 2015 prices",1917.136678
DZA,2014,"Share of Total US$, 2015 prices",2.889195
DZA,2014,"Agriculture orientation index US$, 2015 prices",0.255061
DZA,2014,"Share of Value Added US$, 2015 prices",10.574142
DZA,2015,"Value US$, 2015 prices",2091.851206
DZA,2015,"Share of Total US$, 2015 prices",2.982494
DZA,2015,"Agriculture orientation index US$, 2015 prices",0.257584
DZA,2015,"Share of Value Added US$, 2015 prices",10.884713
DZA,2016,"Value US$, 2015 prices",2159.560329
DZA,2016,"Share of Total US$, 2015 prices",2.97491
DZA,2016,"Agriculture orientation index US$, 2015 prices",0.260463
DZA,2016,"Share of Value Added US$, 2015 prices",11.03834
DZA,2017,"Value US$, 2015 prices",2064.417198
DZA,2017,"Share of Total US$, 2015 prices",2.750334
DZA,2017,"Agriculture orientation index US$, 2015 prices",0.242476
DZA,2017,"Share of Value Added US$, 2015 prices",10.489092
DZA,2018,"Value US$, 2015 prices",2211.564127
DZA,2018,"Share of Total US$, 2015 prices",2.85778
DZA,2018,"Agriculture orientation index US$, 2015 prices",0.24635
DZA,2018,"Share of Value Added US$, 2015 prices",10.856745
DZA,2019,"Value US$, 2015 prices",2401.655402
DZA,2019,"Share of Total US$, 2015 prices",3.219311
DZA,2019,"Agriculture orientation index US$, 2015 prices",0.272921
DZA,2019,"Share of Value Added US$, 2015 prices",11.479959
DZA,2020,"Value US$, 2015 prices",2478.270486
DZA,2020,"Share of Total US$, 2015 prices",3.50423
DZA,2020,"Agriculture orientation index US$, 2015 prices",0.277212
DZA,2020,"Share of Value Added US$, 2015 prices",11.648162
DZA,2021,"Value US$, 2015 prices",2437.829819
DZA,2021,"Share of Total US$, 2015 prices",3.258079
DZA,2021,"Agriculture orientation index US$, 2015 prices",0.271664
DZA,2021,"Share of Value Added US$, 2015 prices",11.680006
DZA,2022,"Value US$, 2015 prices",2927.815736
DZA,2022,"Share of Total US$, 2015 prices",3.858904
DZA,2022,"Agriculture orientation index US$, 2015 prices",0.329059
DZA,2022,"Share of Value Added US$, 2015 prices",13.914362
DZA,2023,"Value US$, 2015 prices",3293.2
DZA,2023,"Share of Total US$, 2015 prices",3.518652
DZA,2023,"Agriculture orientation index US$, 2015 prices",0.31672
DZA,2023,"Share of Value Added US$, 2015 prices",13.866422
DZA,2003,"Value US$, 2022 prices",28.204061
DZA,2003,Share of Total US$,5.07112
DZA,2003,Agriculture orientation index US$,0.516905
DZA,2004,"Value US$, 2022 prices",20.872723
DZA,2004,Share of Total US$,5.224423
DZA,2004,Agriculture orientation index US$,0.553407
DZA,2005,"Value US$, 2022 prices",14.561436
DZA,2005,Share of Total US$,1.882372
DZA,2005,Agriculture orientation index US$,0.24474
DZA,2006,"Value US$, 2022 prices",6.735927
DZA,2006,Share of Total US$,1.519617
DZA,2006,Agriculture orientation index US$,0.201459
DZA,2007,"Value US$, 2022 prices",8.102599
DZA,2007,Share of Total US$,1.991404
DZA,2007,Agriculture orientation index US$,0.263043
DZA,2008,"Value US$, 2022 prices",4.631847
DZA,2008,Share of Total US$,1.212365
DZA,2008,Agriculture orientation index US$,0.184063
DZA,2009,"Value US$, 2022 prices",5.032841
DZA,2009,Share of Total US$,1.363297
DZA,2009,Agriculture orientation index US$,0.145911
DZA,2010,"Value US$, 2022 prices",6.131302
DZA,2010,Share of Total US$,2.234828
DZA,2010,Agriculture orientation index US$,0.263963
DZA,2011,"Value US$, 2022 prices",5.252273
DZA,2011,Share of Total US$,1.850737
DZA,2011,Agriculture orientation index US$,0.228194
DZA,2012,"Value US$, 2022 prices",2.936207
DZA,2012,Share of Total US$,1.192336
DZA,2012,Agriculture orientation index US$,0.135946
DZA,2013,"Value US$, 2022 prices",4.007393
DZA,2013,Share of Total US$,1.306168
DZA,2013,Agriculture orientation index US$,0.132591
DZA,2014,"Value US$, 2022 prices",5.997657
DZA,2014,Share of Total US$,1.625782
DZA,2014,Agriculture orientation index US$,0.158052
DZA,2015,"Value US$, 2022 prices",4.624686
DZA,2015,Share of Total US$,0.911437
DZA,2015,Agriculture orientation index US$,0.078717
DZA,2016,"Value US$, 2022 prices",6.939699
DZA,2016,Share of Total US$,0.552219
DZA,2016,Agriculture orientation index US$,0.045189
DZA,2017,"Value US$, 2022 prices",7.575524
DZA,2017,Share of Total US$,2.743265
DZA,2017,Agriculture orientation index US$,0.233352
DZA,2018,"Value US$, 2022 prices",9.883475
DZA,2018,Share of Total US$,3.889376
DZA,2018,Agriculture orientation index US$,0.327548
DZA,2019,"Value US$, 2022 prices",11.200722
DZA,2019,Share of Total US$,4.33272
DZA,2019,Agriculture orientation index US$,0.351205
DZA,2020,"Value US$, 2022 prices",7.59969
DZA,2020,Share of Total US$,2.699736
DZA,2020,Agriculture orientation index US$,0.19586
DZA,2021,"Value US$, 2022 prices",6.683253
DZA,2021,Share of Total US$,2.598738
DZA,2021,Agriculture orientation index US$,0.213436
DZA,2022,"Value US$, 2022 prices",6.913307
DZA,2022,Share of Total US$,2.88782
DZA,2022,Agriculture orientation index US$,0.226221
DZA,2003,"Value US$, 2015 prices",11.889668
DZA,2003,"Share of Total US$, 2015 prices",1.55156
DZA,2004,"Value US$, 2015 prices",6.135805
DZA,2004,"Share of Total US$, 2015 prices",0.621679
DZA,2005,"Value US$, 2015 prices",37.352253
DZA,2005,"Share of Total US$, 2015 prices",3.794676
DZA,2006,"Value US$, 2015 prices",134.974982
DZA,2006,"Share of Total US$, 2015 prices",8.690142
DZA,2007,"Value US$, 2015 prices",35.764763
DZA,2007,"Share of Total US$, 2015 prices",2.621841
DZA,2008,"Value US$, 2015 prices",184.63426
DZA,2008,"Share of Total US$, 2015 prices",11.242417
DZA,2009,"Value US$, 2015 prices",46.536558
DZA,2009,"Share of Total US$, 2015 prices",1.859368
DZA,2010,"Value US$, 2015 prices",20.378651
DZA,2010,"Share of Total US$, 2015 prices",1.440742
AGO,2003,"Value US$, 2015 prices",3954.336659
AGO,2003,"Share of Total US$, 2015 prices",8.103712
AGO,2003,"Annual growth US$, 2015 prices",6.132949
AGO,2004,"Value US$, 2015 prices",4327.856705
AGO,2004,"Share of Total US$, 2015 prices",7.993626
AGO,2004,"Annual growth US$, 2015 prices",9.445833
AGO,2005,"Value US$, 2015 prices",4624.627263
AGO,2005,"Share of Total US$, 2015 prices",7.425737
AGO,2005,"Annual growth US$, 2015 prices",6.857218
AGO,2006,"Value US$, 2015 prices",5554.03792
AGO,2006,"Share of Total US$, 2015 prices",7.987685
AGO,2006,"Annual growth US$, 2015 prices",20.096985
AGO,2007,"Value US$, 2015 prices",5954.130617
AGO,2007,"Share of Total US$, 2015 prices",7.510866
AGO,2007,"Annual growth US$, 2015 prices",7.203636
AGO,2008,"Value US$, 2015 prices",6246.131453
AGO,2008,"Share of Total US$, 2015 prices",7.087888
AGO,2008,"Annual growth US$, 2015 prices",4.904173
AGO,2009,"Value US$, 2015 prices",6448.638026
AGO,2009,"Share of Total US$, 2015 prices",7.255394
AGO,2009,"Annual growth US$, 2015 prices",3.242112
AGO,2010,"Value US$, 2015 prices",7006.351446
AGO,2010,"Share of Total US$, 2015 prices",7.517585
AGO,2010,"Annual growth US$, 2015 prices",8.648546
AGO,2011,"Value US$, 2015 prices",7560.438962
AGO,2011,"Share of Total US$, 2015 prices",7.839903
AGO,2011,"Annual growth US$, 2015 prices",7.90836
AGO,2012,"Value US$, 2015 prices",8095.146237
AGO,2012,"Share of Total US$, 2015 prices",7.733747
AGO,2012,"Annual growth US$, 2015 prices",7.072437
AGO,2013,"Value US$, 2015 prices",8304.901041
AGO,2013,"Share of Total US$, 2015 prices",7.559591
AGO,2013,"Annual growth US$, 2015 prices",2.591118
AGO,2014,"Value US$, 2015 prices",9626.683013
AGO,2014,"Share of Total US$, 2015 prices",8.359599
AGO,2014,"Annual growth US$, 2015 prices",15.915686
AGO,2015,"Value US$, 2015 prices",10599.804785
AGO,2015,"Share of Total US$, 2015 prices",9.122534
AGO,2015,"Annual growth US$, 2015 prices",10.108589
AGO,2016,"Value US$, 2015 prices",11003.718115
AGO,2016,"Share of Total US$, 2015 prices",9.722951
AGO,2016,"Annual growth US$, 2015 prices",3.810573
AGO,2017,"Value US$, 2015 prices",11057.287446
AGO,2017,"Share of Total US$, 2015 prices",9.780066
AGO,2017,"Annual growth US$, 2015 prices",0.486829
AGO,2018,"Value US$, 2015 prices",10884.987206
AGO,2018,"Share of Total US$, 2015 prices",9.754476
AGO,2018,"Annual growth US$, 2015 prices",-1.558251
AGO,2019,"Value US$, 2015 prices",10735.624585
AGO,2019,"Share of Total US$, 2015 prices",9.688445
AGO,2019,"Annual growth US$, 2015 prices",-1.372189
AGO,2020,"Value US$, 2015 prices",10948.146136
AGO,2020,"Share of Total US$, 2015 prices",10.470594
AGO,2020,"Annual growth US$, 2015 prices",1.979592
AGO,2021,"Value US$, 2015 prices",12777.898367
AGO,2021,"Share of Total US$, 2015 prices",12.075625
AGO,2021,"Annual growth US$, 2015 prices",16.712896
AGO,2022,"Value US$, 2015 prices",13281.374008
AGO,2022,"Share of Total US$, 2015 prices",12.185854
AGO,2022,"Annual growth US$, 2015 prices",3.940207
AGO,2023,"Value US$, 2015 prices",13644.638095
AGO,2023,"Share of Total US$, 2015 prices",12.382942
AGO,2023,"Annual growth US$, 2015 prices",2.735139
AGO,2003,"Value US$, 2015 prices",298.121903
AGO,2003,"Share of Total US$, 2015 prices",2.129076
AGO,2003,"Agriculture orientation index US$, 2015 prices",0.262839
AGO,2003,"Share of Value Added US$, 2015 prices",7.542297
AGO,2004,"Value US$, 2015 prices",350.959384
AGO,2004,"Share of Total US$, 2015 prices",2.119235
AGO,2004,"Agriculture orientation index US$, 2015 prices",0.265228
AGO,2004,"Share of Value Added US$, 2015 prices",8.112736
AGO,2005,"Value US$, 2015 prices",338.212927
AGO,2005,"Share of Total US$, 2015 prices",1.821013
AGO,2005,"Agriculture orientation index US$, 2015 prices",0.245334
AGO,2005,"Share of Value Added US$, 2015 prices",7.31639
AGO,2006,"Value US$, 2015 prices",394.490303
AGO,2006,"Share of Total US$, 2015 prices",2.039585
AGO,2006,"Agriculture orientation index US$, 2015 prices",0.255449
AGO,2006,"Share of Value Added US$, 2015 prices",7.105765
AGO,2007,"Value US$, 2015 prices",422.090463
AGO,2007,"Share of Total US$, 2015 prices",1.948989
AGO,2007,"Agriculture orientation index US$, 2015 prices",0.259599
AGO,2007,"Share of Value Added US$, 2015 prices",7.09203
AGO,2008,"Value US$, 2015 prices",458.066392
AGO,2008,"Share of Total US$, 2015 prices",1.688441
AGO,2008,"Agriculture orientation index US$, 2015 prices",0.238316
AGO,2008,"Share of Value Added US$, 2015 prices",7.336698
AGO,2009,"Value US$, 2015 prices",588.518859
AGO,2009,"Share of Total US$, 2015 prices",1.986076
AGO,2009,"Agriculture orientation index US$, 2015 prices",0.273853
AGO,2009,"Share of Value Added US$, 2015 prices",9.130104
AGO,2010,"Value US$, 2015 prices",591.579007
AGO,2010,"Share of Total US$, 2015 prices",2.190957
AGO,2010,"Agriculture orientation index US$, 2015 prices",0.291567
AGO,2010,"Share of Value Added US$, 2015 prices",8.447033
AGO,2011,"Value US$, 2015 prices",631.896319
AGO,2011,"Share of Total US$, 2015 prices",2.122248
AGO,2011,"Agriculture orientation index US$, 2015 prices",0.270813
AGO,2011,"Share of Value Added US$, 2015 prices",8.361461
AGO,2012,"Value US$, 2015 prices",703.196057
AGO,2012,"Share of Total US$, 2015 prices",2.200042
AGO,2012,"Agriculture orientation index US$, 2015 prices",0.284593
AGO,2012,"Share of Value Added US$, 2015 prices",8.690306
AGO,2013,"Value US$, 2015 prices",782.342683
AGO,2013,"Share of Total US$, 2015 prices",2.407835
AGO,2013,"Agriculture orientation index US$, 2015 prices",0.318648
AGO,2013,"Share of Value Added US$, 2015 prices",9.424231
AGO,2014,"Value US$, 2015 prices",889.380427
AGO,2014,"Share of Total US$, 2015 prices",2.649614
AGO,2014,"Agriculture orientation index US$, 2015 prices",0.317089
AGO,2014,"Share of Value Added US$, 2015 prices",9.242602
AGO,2015,"Value US$, 2015 prices",1014.808462
AGO,2015,"Share of Total US$, 2015 prices",3.096027
AGO,2015,"Agriculture orientation index US$, 2015 prices",0.339382
AGO,2015,"Share of Value Added US$, 2015 prices",9.573841
AGO,2016,"Value US$, 2015 prices",1036.453907
AGO,2016,"Share of Total US$, 2015 prices",3.426149
AGO,2016,"Agriculture orientation index US$, 2015 prices",0.35223
AGO,2016,"Share of Value Added US$, 2015 prices",9.415182
AGO,2017,"Value US$, 2015 prices",891.948339
AGO,2017,"Share of Total US$, 2015 prices",3.727707
AGO,2017,"Agriculture orientation index US$, 2015 prices",0.381067
AGO,2017,"Share of Value Added US$, 2015 prices",8.064788
AGO,2018,"Value US$, 2015 prices",858.660163
AGO,2018,"Share of Total US$, 2015 prices",3.808585
AGO,2018,"Agriculture orientation index US$, 2015 prices",0.390463
AGO,2018,"Share of Value Added US$, 2015 prices",7.888855
AGO,2019,"Value US$, 2015 prices",858.451367
AGO,2019,"Share of Total US$, 2015 prices",3.659583
AGO,2019,"Agriculture orientation index US$, 2015 prices",0.378349
AGO,2019,"Share of Value Added US$, 2015 prices",8.009463
AGO,2020,"Value US$, 2015 prices",1284.886164
AGO,2020,"Share of Total US$, 2015 prices",5.799621
AGO,2020,"Agriculture orientation index US$, 2015 prices",0.555255
AGO,2020,"Share of Value Added US$, 2015 prices",11.764909
AGO,2021,"Value US$, 2015 prices",2147.047199
AGO,2021,"Share of Total US$, 2015 prices",9.210044
AGO,2021,"Agriculture orientation index US$, 2015 prices",0.762753
AGO,2021,"Share of Value Added US$, 2015 prices",16.804063
AGO,2022,"Value US$, 2015 prices",2736.022307
AGO,2022,"Share of Total US$, 2015 prices",10.819347
AGO,2022,"Agriculture orientation index US$, 2015 prices",0.887901
AGO,2022,"Share of Value Added US$, 2015 prices",20.601367
AGO,2023,"Value US$, 2015 prices",3300.69
AGO,2023,"Share of Total US$, 2015 prices",13.614319
AGO,2023,"Agriculture orientation index US$, 2015 prices",1.099442
AGO,2023,"Share of Value Added US$, 2015 prices",24.190381
AGO,2003,"Value US$, 2015 prices",152.16
AGO,2003,"Share of Total US$, 2015 prices",0.64
AGO,2004,"Value US$, 2015 prices",173.12
AGO,2004,"Share of Total US$, 2015 prices",1.32
AGO,2005,"Value US$, 2015 prices",296.32
AGO,2005,"Share of Total US$, 2015 prices",1.73
AGO,2006,"Value US$, 2015 prices",399.11
AGO,2006,"Share of Total US$, 2015 prices",1.69
AGO,2007,"Value US$, 2015 prices",787.51
AGO,2007,"Share of Total US$, 2015 prices",2.84
AGO,2008,"Value US$, 2015 prices",716.13
AGO,2008,"Share of Total US$, 2015 prices",2.12
AGO,2009,"Value US$, 2015 prices",285.77
AGO,2009,"Share of Total US$, 2015 prices",0.89
AGO,2010,"Value US$, 2015 prices",416.87
AGO,2010,"Share of Total US$, 2015 prices",1.08
AGO,2011,"Value US$, 2015 prices",442.98
AGO,2011,"Share of Total US$, 2015 prices",1.12
AGO,2012,"Value US$, 2015 prices",356.6
AGO,2012,"Share of Total US$, 2015 prices",0.93
AGO,2013,"Value US$, 2015 prices",569.05
AGO,2013,"Share of Total US$, 2015 prices",1.12
AGO,2014,"Value US$, 2015 prices",407.26
AGO,2014,"Share of Total US$, 2015 prices",0.74
AGO,2015,"Value US$, 2015 prices",255.46
AGO,2015,"Share of Total US$, 2015 prices",0.7
AGO,2016,"Value US$, 2015 prices",237.38
AGO,2016,"Share of Total US$, 2015 prices",0.65
AGO,2017,"Value US$, 2015 prices",190.33
AGO,2017,"Share of Total US$, 2015 prices",0.5
AGO,2018,"Value US$, 2015 prices",163.46
AGO,2018,"Share of Total US$, 2015 prices",0.41
AGO,2019,"Value US$, 2015 prices",344.81
AGO,2019,"Share of Total US$, 2015 prices",0.92
AGO,2020,"Value US$, 2015 prices",239.5
AGO,2020,"Share of Total US$, 2015 prices",0.54
AGO,2021,"Value US$, 2015 prices",253.95
AGO,2021,"Share of Total US$, 2015 prices",0.73
AGO,2022,"Value US$, 2015 prices",345.79
AGO,2022,"Share of Total US$, 2015 prices",1.01
AGO,2023,"Value US$, 2015 prices",155.96
AGO,2023,"Share of Total US$, 2015 prices",0.47
AGO,2009,"Value US$, 2015 prices",380.603571
AGO,2009,"Share of Total US$, 2015 prices",1.796649
AGO,2009,"Agriculture orientation index US$, 2015 prices",0.247734
AGO,2010,"Value US$, 2015 prices",388.943025
AGO,2010,"Share of Total US$, 2015 prices",2.043228
AGO,2010,"Agriculture orientation index US$, 2015 prices",0.271908
AGO,2011,"Value US$, 2015 prices",342.990749
AGO,2011,"Share of Total US$, 2015 prices",1.733973
AGO,2011,"Agriculture orientation index US$, 2015 prices",0.221266
AGO,2012,"Value US$, 2015 prices",667.656218
AGO,2012,"Share of Total US$, 2015 prices",2.926674
AGO,2012,"Agriculture orientation index US$, 2015 prices",0.378589
AGO,2013,"Value US$, 2015 prices",724.056687
AGO,2013,"Share of Total US$, 2015 prices",2.97138
AGO,2013,"Agriculture orientation index US$, 2015 prices",0.393227
AGO,2014,"Value US$, 2015 prices",1116.662818
AGO,2014,"Share of Total US$, 2015 prices",4.333052
AGO,2014,"Agriculture orientation index US$, 2015 prices",0.518551
AGO,2015,"Value US$, 2015 prices",1510.091208
AGO,2015,"Share of Total US$, 2015 prices",5.045577
AGO,2015,"Agriculture orientation index US$, 2015 prices",0.553089
AGO,2016,"Value US$, 2015 prices",1573.455248
AGO,2016,"Share of Total US$, 2015 prices",6.356449
AGO,2016,"Agriculture orientation index US$, 2015 prices",0.653484
AGO,2017,"Value US$, 2015 prices",1229.107053
AGO,2017,"Share of Total US$, 2015 prices",6.089705
AGO,2017,"Agriculture orientation index US$, 2015 prices",0.622524
AGO,2018,"Value US$, 2015 prices",970.37171
AGO,2018,"Share of Total US$, 2015 prices",5.358632
AGO,2018,"Agriculture orientation index US$, 2015 prices",0.549377
AGO,2019,"Value US$, 2015 prices",997.043559
AGO,2019,"Share of Total US$, 2015 prices",5.566446
AGO,2019,"Agriculture orientation index US$, 2015 prices",0.575491
AGO,2020,"Value US$, 2015 prices",950.116751
AGO,2020,"Share of Total US$, 2015 prices",6.259786
AGO,2020,"Agriculture orientation index US$, 2015 prices",0.599312
AGO,2021,"Value US$, 2015 prices",746.601349
AGO,2021,"Share of Total US$, 2015 prices",6.492982
AGO,2021,"Agriculture orientation index US$, 2015 prices",0.537733
AGO,2022,"Value US$, 2015 prices",829.329314
AGO,2022,"Share of Total US$, 2015 prices",8.577092
AGO,2022,"Agriculture orientation index US$, 2015 prices",0.703888
AGO,2023,"Value US$, 2015 prices",588.138438
AGO,2023,"Share of Total US$, 2015 prices",5.380493
AGO,2023,"Agriculture orientation index US$, 2015 prices",0.433575
AGO,2003,"Value US$, 2022 prices",10.042088
AGO,2003,Share of Total US$,1.982203
AGO,2003,Agriculture orientation index US$,0.319793
AGO,2004,"Value US$, 2022 prices",4.255043
AGO,2004,Share of Total US$,0.327385
AGO,2004,Agriculture orientation index US$,0.052374
AGO,2005,"Value US$, 2022 prices",5.278725
AGO,2005,Share of Total US$,1.253004
AGO,2005,Agriculture orientation index US$,0.247609
AGO,2006,"Value US$, 2022 prices",15.579669
AGO,2006,Share of Total US$,5.115515
AGO,2006,Agriculture orientation index US$,0.985405
AGO,2007,"Value US$, 2022 prices",15.858164
AGO,2007,Share of Total US$,4.318906
AGO,2007,Agriculture orientation index US$,0.823861
AGO,2008,"Value US$, 2022 prices",35.660022
AGO,2008,Share of Total US$,9.035428
AGO,2008,Agriculture orientation index US$,1.880289
AGO,2009,"Value US$, 2022 prices",36.701801
AGO,2009,Share of Total US$,11.561054
AGO,2009,Agriculture orientation index US$,1.746067
AGO,2010,"Value US$, 2022 prices",34.651602
AGO,2010,Share of Total US$,10.918679
AGO,2010,Agriculture orientation index US$,1.766693
AGO,2011,"Value US$, 2022 prices",33.19244
AGO,2011,Share of Total US$,12.688934
AGO,2011,Agriculture orientation index US$,2.170651
AGO,2012,"Value US$, 2022 prices",17.295928
AGO,2012,Share of Total US$,5.652871
AGO,2012,Agriculture orientation index US$,0.931337
AGO,2013,"Value US$, 2022 prices",25.247986
AGO,2013,Share of Total US$,7.539311
AGO,2013,Agriculture orientation index US$,1.158559
AGO,2014,"Value US$, 2022 prices",17.208266
AGO,2014,Share of Total US$,1.958138
AGO,2014,Agriculture orientation index US$,0.259457
AGO,2015,"Value US$, 2022 prices",14.776345
AGO,2015,Share of Total US$,1.499109
AGO,2015,Agriculture orientation index US$,0.16433
AGO,2016,"Value US$, 2022 prices",13.608197
AGO,2016,Share of Total US$,1.8228
AGO,2016,Agriculture orientation index US$,0.18541
AGO,2017,"Value US$, 2022 prices",8.464139
AGO,2017,Share of Total US$,1.840187
AGO,2017,Agriculture orientation index US$,0.183706
AGO,2018,"Value US$, 2022 prices",27.423724
AGO,2018,Share of Total US$,9.374
AGO,2018,Agriculture orientation index US$,1.08902
AGO,2019,"Value US$, 2022 prices",26.855333
AGO,2019,Share of Total US$,3.028965
AGO,2019,Agriculture orientation index US$,0.384258
AGO,2020,"Value US$, 2022 prices",21.488044
AGO,2020,Share of Total US$,4.204358
AGO,2020,Agriculture orientation index US$,0.422695
AGO,2021,"Value US$, 2022 prices",27.66187
AGO,2021,Share of Total US$,2.530866
AGO,2021,Agriculture orientation index US$,0.218385
AGO,2022,"Value US$, 2022 prices",32.659168
AGO,2022,Share of Total US$,2.879728
AGO,2022,Agriculture orientation index US$,0.209623
BEN,2003,"Value US$, 2015 prices",1825.796347
BEN,2003,"Share of Total US$, 2015 prices",25.74709
BEN,2003,"Annual growth US$, 2015 prices",1.773989
BEN,2004,"Value US$, 2015 prices",1955.758413
BEN,2004,"Share of Total US$, 2015 prices",26.40992
